Id,R,Nome,Squadra,Qt.I,FVM
7322,C,Ngom,Lecce,4,12
6015,C,Berisha M.,Lecce,4,12
7318,C,Gandelman,Lecce,4,10
4199,C,Loftus-Cheek,Milan,4,15
6252,C,Folorunsho,Monza,4,15
6005,C,Ilkhan,Torino,4,8
7208,C,Miller L.,Udinese,4,12
7550,C,Grillitsch,Frosinone,4,10
7579,C,Massolin,Cagliari,4,12
6024,C,Sulemana I.,Sassuolo,3,7
4947,C,Brescianini,Fiorentina,3,11
6206,C,Fabbian,Parma,3,12
6903,C,Hasa,Frosinone,3,5
6191,C,Belahyane,Lazio,3,3
333,C,Cataldi,Lazio,3,10
7248,C,Gorter,Lecce,3,12
5453,C,Ricci S.,Como,3,12
5131,C,Gilmour,Napoli,3,10
7138,C,Ordonez C.,Parma,3,10
7536,C,Diallo O.,Parma,3,12
6246,C,Lipani,Sassuolo,3,5
5007,C,Ilic,Lecce,3,16
7183,C,Aboukhlal,Torino,3,5
801,C,Gagliardini,Cagliari,3,8
7232,C,Fernandez T.,Venezia,3,8
6225,C,El Azzouzi O.,Bologna,2,10
6241,C,Gelli F.,Frosinone,2,6
6503,C,Stankovic A.,Inter,2,7
7477,C,Colombo L.,Monza,2,4
7276,C,Cremaschi,Parma,2,3
6212,C,Zarraga,Udinese,2,4
7418,C,Chakvetadze,Udinese,2,6
5872,C,Helgason,Venezia,2,3
6592,C,Forson O.,Monza,2,1
7574,C,Foe Ondoa,Monza,2,2
7092,C,Jovanovic,Udinese,2,5
7628,C,Sierro,Parma,2,1
7165,C,Liteta,Cagliari,1,1
7357,C,Lahdo,Como,1,1
7456,C,El Azzouzi A.,Frosinone,1,1
5725,C,Kone B.,Frosinone,1,3
6980,C,Venturino,Genoa,1,4
7345,C,Przyborek,Lazio,1,5
6410,C,Kaba,Lecce,1,2
7319,C,Fofana Sa.,Lecce,1,1
5880,C,Ciurria,Monza,1,6
6219,C,Boloca,Sassuolo,1,5
7481,C,Dagasso,Venezia,1,1
526,C,Duncan,Venezia,1,4
7571,C,Laerke,Lecce,1,1
7572,C,Comotto,Milan,1,1
7575,C,Mout,Monza,1,12
5462,C,Ciervo,Cagliari,1,1
7629,C,Libra,Bologna,1,1
5585,A,Malen,Roma,37,450
2764,A,Martinez L.,Inter,34,382
4871,A,Thuram,Inter,30,271
6052,A,Hojlund,Napoli,28,284
6397,A,Ramos G.,Milan,26,220
2097,A,Kean,Como,24,165
5951,A,Kolo Muani,Juventus,24,120
6752,A,Woltemade,Juventus,22,127
7017,A,Douvikas,Como,21,165
6434,A,Yildiz,Juventus,21,75
2137,A,Scamacca,Atalanta,20,104
5637,A,Davis K.,Udinese,19,115
